time[s]	time_effective[ms]	power[1]	TO[C]	TH[C]	TOunten[C]
0	20	0	24.285	24.320	24.250
1	1001	0	24.250	24.258	24.227
2	2001	0	24.246	24.258	24.230
3	3001	0	24.254	24.234	24.223
4	4001	0	24.242	24.246	24.219
5	5001	0	24.262	24.254	24.219
6	6001	0	24.262	24.246	24.207
7	7001	0	24.250	24.230	24.219
8	8001	0	24.250	24.250	24.227
9	9001	0	24.254	24.238	24.219
10	10001	0	24.250	24.238	24.215
11	11001	0	24.234	24.258	24.227
12	12001	0	24.234	24.230	24.219
13	13001	0	24.250	24.234	24.223
14	14001	0	24.262	24.230	24.203
15	15000	0	24.246	24.246	24.223
16	16001	0	24.242	24.234	24.215
17	17001	0	24.234	24.219	24.227
18	18001	0	24.242	24.238	24.223
19	19001	0	24.246	24.242	24.195
20	20001	0	24.227	24.234	24.215
21	21001	0	24.250	24.242	24.203
22	22001	0	24.234	24.258	24.211
23	23001	0	24.238	24.227	24.211
24	24001	0	24.242	24.227	24.215
25	25001	0	24.258	24.223	24.211
26	26001	0	24.250	24.223	24.207
27	27001	0	24.254	24.223	24.215
28	28001	0	24.250	24.219	24.207
29	29001	0	24.254	24.234	24.219
30	30001	0	24.254	24.230	24.219
31	31000	0	24.242	24.242	24.207
32	32001	0	24.242	24.215	24.223
33	33001	0	24.246	24.238	24.234
34	34001	0	24.242	24.234	24.211
35	35001	0	24.246	24.242	24.207
36	36001	0	24.227	24.246	24.203
37	37001	0	24.242	24.242	24.211
38	38001	0	24.246	24.223	24.207
39	39001	0	24.234	24.234	24.223
40	40001	0	24.227	24.234	24.207
41	41001	0	24.250	24.234	24.230
42	42001	0	24.262	24.230	24.211
43	43001	0	24.238	24.215	24.211
44	44001	0	24.238	24.238	24.215
45	45001	0	24.242	24.227	24.219
46	46001	0	24.230	24.223	24.203
47	47000	0	24.262	24.246	24.223
48	48001	0	24.234	24.227	24.203
49	49001	0	24.238	24.223	24.199
50	50001	0	24.254	24.238	24.223
51	51001	0	24.242	24.211	24.207
52	52001	0	24.223	24.238	24.199
53	53001	0	24.234	24.223	24.207
54	54001	0	24.234	24.223	24.207
55	55001	0	24.246	24.227	24.207
56	56001	0	24.238	24.230	24.211
57	57001	0	24.238	24.230	24.211
58	58001	0	24.230	24.238	24.215
59	59001	0	24.242	24.230	24.215
60	60001	0	24.234	24.230	24.211
61	61001	0	24.246	24.219	24.207
62	62001	0	24.227	24.215	24.203
63	63000	0	24.250	24.234	24.215
64	64001	0	24.234	24.234	24.215
65	65001	0	24.219	24.227	24.219
66	66001	0	24.223	24.227	24.199
67	67001	0	24.238	24.242	24.223
68	68001	0	24.230	24.223	24.207
69	69001	0	24.238	24.211	24.211
70	70001	0	24.230	24.230	24.219
71	71001	0	24.223	24.215	24.219
72	72001	0	24.246	24.227	24.219
73	73001	0	24.230	24.227	24.211
74	74001	0	24.242	24.234	24.215
75	75001	0	24.242	24.242	24.203
76	76001	0	24.246	24.223	24.207
77	77001	0	24.246	24.230	24.203
78	78001	0	24.238	24.207	24.211
79	79000	0	24.227	24.230	24.199
80	80001	0	24.242	24.211	24.223
81	81001	0	24.234	24.211	24.195
82	82001	0	24.230	24.211	24.207
83	83001	0	24.234	24.223	24.211
84	84001	0	24.238	24.238	24.199
85	85001	0	24.242	24.223	24.203
86	86001	0	24.254	24.211	24.219
87	87001	0	24.238	24.227	24.211
88	88001	0	24.242	24.227	24.207
89	89001	0	24.246	24.227	24.215
90	90001	0	24.250	24.223	24.199
91	91001	0	24.234	24.223	24.207
92	92001	0	24.227	24.230	24.215
93	93001	0	24.230	24.234	24.207
94	94001	0	24.238	24.238	24.199
95	95000	0	24.246	24.219	24.207
96	96001	0	24.234	24.234	24.215
97	97001	0	24.230	24.219	24.199
98	98001	0	24.234	24.219	24.211
99	99001	0	24.230	24.227	24.211
100	100001	0	24.238	24.227	24.203
101	101001	0	24.242	24.230	24.211
102	102001	0	24.238	24.238	24.199
103	103001	0	24.230	24.227	24.203
104	104001	0	24.234	24.223	24.215
105	105001	0	24.242	24.227	24.199
106	106001	0	24.230	24.238	24.207
107	107001	0	24.234	24.234	24.211
108	108001	0	24.238	24.223	24.207
109	109001	0	24.242	24.215	24.199
110	110001	0	24.223	24.223	24.207
111	111000	0	24.238	24.215	24.203
112	112001	0	24.238	24.219	24.207
113	113001	0	24.246	24.238	24.203
114	114001	0	24.227	24.227	24.199
115	115001	0	24.234	24.238	24.211
116	116001	0	24.238	24.227	24.203
117	117001	0	24.227	24.223	24.215
118	118001	0	24.230	24.234	24.199
119	119001	0	24.227	24.230	24.215
120	120001	0	24.234	24.230	24.203
121	121001	0	24.227	24.227	24.203
122	122001	0	24.250	24.215	24.191
123	123001	0	24.238	24.223	24.207
124	124001	0	24.230	24.219	24.191
125	125001	0	24.242	24.219	24.207
126	126000	0	24.238	24.223	24.199
127	127001	0	24.223	24.219	24.211
128	128001	0	24.234	24.219	24.211
129	129001	0	24.242	24.223	24.195
130	130001	0	24.219	24.199	24.199
131	131001	0	24.234	24.230	24.207
132	132001	0	24.234	24.219	24.219
133	133001	0	24.234	24.211	24.211
134	134001	0	24.250	24.223	24.211
135	135001	0	24.230	24.223	24.195
136	136001	0	24.238	24.203	24.191
137	137001	0	24.223	24.219	24.195
138	138001	0	24.227	24.223	24.207
139	139001	0	24.234	24.238	24.195
140	140001	0	24.215	24.219	24.215
141	141000	0	24.250	24.215	24.215
142	142001	0	24.211	24.223	24.191
143	143001	0	24.234	24.238	24.207
144	144001	0	24.230	24.219	24.195
145	145001	0	24.230	24.211	24.199
146	146001	0	24.227	24.223	24.207
147	147001	0	24.227	24.227	24.207
148	148001	0	24.227	24.203	24.211
149	149001	0	24.215	24.223	24.195
150	150001	0	24.230	24.219	24.203
151	151001	0	24.230	24.199	24.203
152	152001	0	24.238	24.219	24.199
153	153001	0	24.219	24.203	24.215
154	154001	0	24.234	24.234	24.211
155	155001	0	24.227	24.211	24.211
156	156000	0	24.207	24.219	24.203
157	157001	0	24.219	24.219	24.203
158	158001	0	24.227	24.211	24.199
159	159001	0	24.227	24.207	24.195
160	160001	0	24.215	24.227	24.191
161	161001	0	24.234	24.227	24.211
162	162001	0	24.234	24.230	24.191
163	163001	0	24.234	24.234	24.172
164	164001	0	24.211	24.238	24.191
165	165001	0	24.238	24.203	24.195
166	166001	0	24.238	24.211	24.215
167	167001	0	24.238	24.234	24.207
168	168001	0	24.230	24.227	24.188
169	169001	0	24.234	24.207	24.199
170	170001	0	24.223	24.219	24.199
171	171000	0	24.242	24.223	24.207
172	172001	0	24.219	24.211	24.191
173	173001	0	24.242	24.227	24.199
174	174001	0	24.238	24.219	24.203
175	175001	0	24.227	24.211	24.211
176	176001	0	24.234	24.203	24.191
177	177001	0	24.230	24.230	24.199
178	178001	0	24.227	24.227	24.211
179	179001	0	24.230	24.215	24.195
180	180001	0	24.230	24.230	24.191
181	181001	0	24.227	24.223	24.203
182	182001	0	24.238	24.215	24.203
183	183001	0	24.219	24.215	24.195
184	184001	0	24.227	24.211	24.176
185	185001	0	24.223	24.211	24.195
186	186000	0	24.227	24.219	24.199
187	187001	0	24.219	24.215	24.184
188	188001	0	24.230	24.215	24.191
189	189001	0	24.230	24.211	24.191
190	190001	0	24.215	24.223	24.180
191	191001	0	24.223	24.223	24.207
192	192001	0	24.219	24.207	24.191
193	193001	0	24.230	24.223	24.184
194	194001	0	24.219	24.219	24.191
195	195001	0	24.223	24.219	24.199
196	196001	0	24.207	24.215	24.195
197	197001	0	24.230	24.207	24.203
198	198001	0	24.215	24.230	24.199
199	199001	0	24.238	24.207	24.211
200	200001	0	24.238	24.203	24.188
201	201000	0	24.219	24.211	24.195
202	202001	0	24.215	24.238	24.199
203	203001	0	24.215	24.219	24.203
204	204001	0	24.219	24.203	24.199
205	205001	0	24.211	24.211	24.188
206	206001	0	24.227	24.215	24.195
207	207001	0	24.219	24.219	24.184
208	208001	0	24.223	24.219	24.199
209	209001	0	24.230	24.223	24.199
210	210001	0	24.238	24.215	24.195
211	211001	0	24.211	24.219	24.184
212	212001	0	24.211	24.203	24.207
213	213001	0	24.230	24.219	24.195
214	214001	0	24.230	24.203	24.195
215	215001	0	24.230	24.211	24.199
216	216000	0	24.199	24.203	24.203
217	217001	0	24.242	24.199	24.207
218	218001	0	24.227	24.207	24.199
219	219001	0	24.223	24.211	24.207
220	220001	0	24.215	24.195	24.199
221	221001	0	24.211	24.219	24.188
222	222001	0	24.223	24.219	24.191
223	223001	0	24.211	24.219	24.195
224	224001	0	24.230	24.211	24.199
225	225001	0	24.207	24.223	24.184
226	226001	0	24.223	24.203	24.195
227	227001	0	24.215	24.211	24.188
228	228001	0	24.207	24.211	24.195
229	229001	0	24.223	24.203	24.191
230	230001	0	24.223	24.227	24.191
231	231000	0	24.227	24.223	24.195
232	232001	0	24.223	24.199	24.188
233	233001	0	24.215	24.207	24.184
234	234001	0	24.223	24.199	24.199
235	235001	0	24.219	24.207	24.191
236	236001	0	24.219	24.199	24.191
237	237001	0	24.219	24.199	24.180
238	238001	0	24.211	24.219	24.203
239	239001	0	24.215	24.207	24.176
240	240001	0	24.219	24.219	24.191
241	241001	0	24.223	24.215	24.184
242	242001	0	24.227	24.227	24.172
243	243001	0	24.223	24.227	24.184
244	244001	0	24.215	24.211	24.203
245	245001	0	24.219	24.215	24.195
246	246000	0	24.199	24.199	24.191
247	247001	0	24.227	24.207	24.188
248	248001	0	24.223	24.211	24.199
249	249001	0	24.199	24.191	24.191
250	250001	0	24.219	24.207	24.180
251	251001	0	24.223	24.207	24.195
252	252001	0	24.219	24.215	24.203
253	253001	0	24.223	24.211	24.195
254	254001	0	24.207	24.211	24.184
255	255001	0	24.227	24.199	24.188
256	256001	0	24.215	24.203	24.203
257	257001	0	24.215	24.195	24.188
258	258001	0	24.223	24.199	24.203
259	259001	0	24.230	24.199	24.191
260	260001	0	24.203	24.211	24.191
261	261000	0	24.215	24.207	24.188
262	262001	0	24.215	24.215	24.176
263	263001	0	24.215	24.207	24.188
264	264001	0	24.219	24.227	24.184
265	265001	0	24.219	24.203	24.176
266	266001	0	24.207	24.207	24.199
267	267001	0	24.215	24.215	24.203
268	268001	0	24.199	24.207	24.199
269	269001	0	24.223	24.211	24.188
270	270001	0	24.211	24.195	24.180
271	271001	0	24.207	24.207	24.188
272	272001	0	24.215	24.203	24.191
273	273001	0	24.227	24.199	24.180
274	274001	0	24.219	24.203	24.180
275	275001	0	24.215	24.191	24.188
276	276000	0	24.215	24.207	24.188
277	277001	0	24.207	24.211	24.191
278	278001	0	24.219	24.195	24.188
279	279001	0	24.215	24.203	24.188
280	280001	0	24.219	24.195	24.176
281	281001	0	24.215	24.207	24.207
282	282001	0	24.219	24.188	24.188
283	283001	0	24.203	24.195	24.195
284	284001	0	24.215	24.203	24.195
285	285001	0	24.230	24.207	24.172
286	286001	0	24.207	24.211	24.191
287	287001	0	24.219	24.211	24.172
288	288001	0	24.219	24.195	24.191
289	289001	0	24.207	24.184	24.188
290	290001	0	24.211	24.211	24.172
291	291000	0	24.223	24.199	24.188
292	292001	0	24.234	24.199	24.180
293	293001	0	24.215	24.195	24.168
294	294001	0	24.215	24.203	24.180
295	295001	0	24.219	24.191	24.172
296	296001	0	24.227	24.207	24.188
297	297001	0	24.207	24.211	24.168
298	298001	0	24.219	24.199	24.180
299	299001	0	24.207	24.203	24.180
300	300001	1	24.215	24.199	24.199
301	301001	1	24.211	24.336	24.188
302	302001	1	24.223	25.035	24.188
303	303001	1	24.242	25.930	24.219
304	304001	1	24.285	26.816	24.227
305	305001	1	24.301	27.605	24.254
306	306000	1	24.313	28.270	24.297
307	307001	1	24.371	28.813	24.316
308	308001	1	24.383	29.250	24.340
309	309001	1	24.398	29.609	24.367
310	310001	1	24.434	29.922	24.391
311	311001	1	24.469	30.176	24.434
312	312001	1	24.492	30.367	24.434
313	313001	1	24.520	30.547	24.465
314	314001	1	24.543	30.699	24.500
315	315001	1	24.559	30.820	24.516
316	316001	1	24.594	30.926	24.535
317	317001	1	24.609	31.004	24.555
318	318001	1	24.629	31.086	24.582
319	319001	1	24.656	31.172	24.602
320	320001	1	24.672	31.230	24.617
321	321001	1	24.699	31.285	24.656
322	322000	1	24.719	31.340	24.664
323	323001	1	24.723	31.371	24.695
324	324001	1	24.762	31.402	24.715
325	325001	1	24.777	31.465	24.719
326	326001	1	24.816	31.500	24.746
327	327001	1	24.844	31.523	24.754
328	328001	1	24.852	31.563	24.789
329	329001	1	24.859	31.594	24.805
330	330001	1	24.891	31.613	24.820
331	331001	1	24.895	31.645	24.840
332	332001	1	24.918	31.668	24.867
333	333001	1	24.957	31.695	24.859
334	334001	1	24.973	31.711	24.898
335	335001	1	24.980	31.742	24.910
336	336001	1	25.004	31.766	24.934
337	337000	1	25.016	31.793	24.961
338	338001	1	25.051	31.777	24.953
339	339001	1	25.074	31.820	24.980
340	340001	1	25.090	31.852	24.996
341	341001	1	25.078	31.871	25.023
342	342001	1	25.117	31.871	25.043
343	343001	1	25.125	31.902	25.055
344	344001	1	25.145	31.926	25.078
345	345001	1	25.168	31.934	25.105
346	346001	1	25.191	31.961	25.109
347	347001	1	25.207	31.977	25.121
348	348001	1	25.211	31.980	25.137
349	349001	1	25.250	32.020	25.168
350	350001	1	25.242	32.035	25.172
351	351001	1	25.266	32.066	25.195
352	352000	1	25.309	32.082	25.215
353	353001	1	25.305	32.094	25.223
354	354001	1	25.309	32.102	25.250
355	355001	1	25.352	32.125	25.258
356	356001	1	25.367	32.176	25.258
357	357001	1	25.387	32.168	25.285
358	358001	1	25.391	32.191	25.309
359	359001	1	25.406	32.199	25.320
360	360001	1	25.414	32.211	25.332
361	361001	1	25.434	32.227	25.344
362	362001	1	25.453	32.270	25.371
363	363001	1	25.469	32.262	25.379
364	364001	1	25.480	32.289	25.410
365	365001	1	25.512	32.297	25.410
366	366001	1	25.523	32.316	25.434
367	367001	1	25.543	32.324	25.445
368	368001	1	25.551	32.352	25.434
369	369001	1	25.559	32.355	25.484
370	370001	1	25.559	32.371	25.477
371	371001	1	25.582	32.379	25.504
372	372001	1	25.605	32.398	25.523
373	373001	1	25.621	32.426	25.516
374	374001	1	25.617	32.434	25.527
375	375001	1	25.656	32.453	25.566
376	376001	1	25.660	32.457	25.582
377	377001	1	25.668	32.480	25.570
378	378001	1	25.680	32.496	25.609
379	379001	1	25.695	32.508	25.625
380	380001	1	25.707	32.520	25.637
381	381001	1	25.727	32.555	25.641
382	382000	1	25.773	32.527	25.652
383	383001	1	25.762	32.570	25.668
384	384001	1	25.785	32.578	25.684
385	385001	1	25.797	32.605	25.707
386	386001	1	25.805	32.602	25.711
387	387001	1	25.820	32.621	25.723
388	388001	1	25.832	32.668	25.738
389	389001	1	25.848	32.645	25.750
390	390001	1	25.848	32.672	25.770
391	391001	1	25.867	32.680	25.773
392	392001	1	25.879	32.691	25.801
393	393001	1	25.898	32.723	25.809
394	394001	1	25.906	32.727	25.828
395	395001	1	25.930	32.723	25.840
396	396001	1	25.949	32.742	25.836
397	397000	1	25.957	32.766	25.859
398	398001	1	25.961	32.770	25.867
399	399001	1	25.996	32.781	25.895
400	400001	1	26.000	32.801	25.898
401	401001	1	26.012	32.809	25.918
402	402001	1	26.031	32.828	25.922
403	403001	1	26.035	32.840	25.926
404	404001	1	26.051	32.863	25.949
405	405001	1	26.066	32.871	25.965
406	406001	1	26.074	32.875	25.957
407	407001	1	26.078	32.891	25.984
408	408001	1	26.086	32.898	26.000
409	409001	1	26.113	32.910	26.012
410	410001	1	26.125	32.930	26.004
411	411001	1	26.145	32.938	26.035
412	412000	1	26.156	32.961	26.047
413	413001	1	26.164	32.965	26.059
414	414001	1	26.172	32.984	26.066
415	415001	1	26.180	32.992	26.086
416	416001	1	26.191	32.992	26.105
417	417001	1	26.207	33.012	26.105
418	418001	1	26.211	33.023	26.133
419	419001	1	26.223	33.039	26.133
420	420001	1	26.227	33.063	26.133
421	421001	1	26.262	33.059	26.152
422	422001	1	26.266	33.070	26.148
423	423001	1	26.273	33.094	26.172
424	424001	1	26.297	33.098	26.211
425	425001	1	26.297	33.105	26.199
426	426001	1	26.297	33.125	26.215
427	427000	1	26.332	33.133	26.219
428	428001	1	26.348	33.156	26.230
429	429001	1	26.348	33.145	26.234
430	430001	1	26.363	33.168	26.270
431	431001	1	26.359	33.172	26.258
432	432001	1	26.402	33.199	26.289
433	433001	1	26.391	33.207	26.301
434	434001	1	26.422	33.215	26.301
435	435001	1	26.430	33.223	26.324
436	436001	1	26.430	33.230	26.320
437	437001	1	26.430	33.250	26.340
438	438001	1	26.441	33.258	26.340
439	439001	1	26.461	33.270	26.367
440	440001	1	26.469	33.289	26.387
441	441001	1	26.477	33.293	26.379
442	442000	1	26.484	33.309	26.402
443	443001	1	26.512	33.316	26.398
444	444001	1	26.527	33.312	26.426
445	445001	1	26.523	33.352	26.434
446	446001	1	26.543	33.340	26.434
447	447001	1	26.543	33.344	26.469
448	448001	1	26.551	33.352	26.469
449	449001	1	26.574	33.383	26.473
450	450001	1	26.582	33.391	26.473
451	451001	1	26.582	33.395	26.492
452	452001	1	26.598	33.406	26.504
453	453001	1	26.605	33.414	26.508
454	454001	1	26.605	33.426	26.527
455	455001	1	26.652	33.438	26.531
456	456001	1	26.656	33.457	26.547
457	457000	1	26.672	33.465	26.555
458	458001	1	26.656	33.461	26.559
459	459001	1	26.664	33.477	26.574
460	460001	1	26.695	33.488	26.590
461	461001	1	26.684	33.500	26.613
462	462001	1	26.723	33.516	26.621
463	463001	1	26.723	33.508	26.617
464	464001	1	26.738	33.535	26.621
465	465001	1	26.727	33.551	26.625
466	466001	1	26.773	33.551	26.645
467	467001	1	26.762	33.586	26.660
468	468001	1	26.770	33.570	26.664
469	469001	1	26.766	33.602	26.688
470	470001	1	26.801	33.582	26.691
471	471001	1	26.805	33.605	26.711
472	472000	1	26.801	33.609	26.703
473	473001	1	26.832	33.613	26.723
474	474001	1	26.828	33.641	26.723
475	475001	1	26.844	33.629	26.750
476	476001	1	26.848	33.645	26.750
477	477001	1	26.859	33.656	26.773
478	478001	1	26.871	33.688	26.781
479	479001	1	26.898	33.695	26.801
480	480001	1	26.867	33.688	26.816
481	481001	1	26.902	33.703	26.793
482	482001	1	26.914	33.719	26.813
483	483001	1	26.934	33.723	26.832
484	484001	1	26.941	33.723	26.828
485	485001	1	26.941	33.734	26.855
486	486001	1	26.941	33.746	26.852
487	487001	1	26.961	33.758	26.855
488	488001	1	26.984	33.766	26.871
489	489001	1	26.977	33.781	26.887
490	490001	1	26.988	33.789	26.898
491	491001	1	26.988	33.793	26.898
492	492001	1	27.023	33.793	26.914
493	493001	1	27.016	33.820	26.910
494	494001	1	27.043	33.820	26.941
495	495001	1	27.043	33.836	26.953
496	496001	1	27.047	33.824	26.945
497	497001	1	27.055	33.844	26.961
498	498001	1	27.059	33.859	26.961
499	499001	1	27.066	33.871	26.992
500	500001	1	27.102	33.898	27.004
501	501001	1	27.109	33.887	26.996
502	502001	1	27.105	33.879	27.012
503	503001	1	27.117	33.898	27.023
504	504001	1	27.133	33.937	27.027
505	505001	1	27.141	33.906	27.027
506	506001	1	27.160	33.937	27.047
507	507001	1	27.168	33.949	27.051
508	508001	1	27.164	33.945	27.059
509	509001	1	27.195	33.965	27.059
510	510001	1	27.184	33.980	27.082
511	511001	1	27.180	33.977	27.098
512	512001	1	27.211	33.992	27.102
513	513001	1	27.199	33.988	27.113
514	514001	1	27.230	34.008	27.117
515	515001	1	27.227	34.016	27.125
516	516001	1	27.238	34.020	27.137
517	517000	1	27.242	34.027	27.137
518	518001	1	27.254	34.043	27.156
519	519001	1	27.246	34.035	27.176
520	520001	1	27.273	34.047	27.191
521	521001	1	27.297	34.086	27.195
522	522001	1	27.293	34.082	27.188
523	523001	1	27.309	34.082	27.211
524	524001	1	27.320	34.098	27.219
525	525001	1	27.324	34.102	27.227
526	526001	1	27.340	34.109	27.219
527	527001	1	27.344	34.129	27.250
528	528001	1	27.367	34.125	27.246
529	529001	1	27.348	34.137	27.258
530	530001	1	27.379	34.160	27.270
531	531001	1	27.371	34.152	27.285
532	532000	1	27.387	34.164	27.285
533	533001	1	27.391	34.160	27.293
534	534001	1	27.414	34.180	27.297
535	535001	1	27.426	34.191	27.316
536	536001	1	27.426	34.191	27.320
537	537001	1	27.426	34.219	27.328
538	538001	1	27.441	34.230	27.344
539	539001	1	27.449	34.230	27.355
540	540001	1	27.469	34.230	27.367
541	541001	1	27.480	34.242	27.367
542	542001	1	27.484	34.246	27.383
543	543001	1	27.480	34.258	27.379
544	544001	1	27.492	34.262	27.387
545	545001	1	27.500	34.273	27.395
546	546001	1	27.508	34.293	27.406
547	547000	1	27.508	34.293	27.422
548	548001	1	27.527	34.297	27.430
549	549001	1	27.547	34.313	27.441
550	550001	1	27.551	34.320	27.449
551	551001	1	27.563	34.332	27.457
552	552001	1	27.574	34.336	27.477
553	553001	1	27.570	34.336	27.469
554	554001	1	27.582	34.348	27.480
555	555001	1	27.590	34.359	27.488
556	556001	1	27.590	34.367	27.512
557	557001	1	27.594	34.379	27.504
558	558001	1	27.629	34.387	27.516
559	559001	1	27.645	34.391	27.516
560	560001	1	27.625	34.418	27.520
561	561001	1	27.645	34.418	27.543
562	562000	1	27.648	34.398	27.559
563	563001	1	27.656	34.422	27.574
564	564001	1	27.676	34.434	27.578
565	565001	1	27.687	34.453	27.578
566	566001	1	27.691	34.438	27.598
567	567001	1	27.703	34.453	27.578
568	568001	1	27.719	34.465	27.609
569	569001	1	27.719	34.469	27.625
570	570001	1	27.723	34.484	27.629
571	571001	1	27.723	34.488	27.625
572	572001	1	27.746	34.504	27.645
573	573001	1	27.742	34.504	27.656
574	574001	1	27.754	34.508	27.660
575	575001	1	27.762	34.520	27.672
576	576001	1	27.773	34.543	27.684
577	577001	1	27.781	34.523	27.676
578	578000	1	27.805	34.551	27.684
579	579001	1	27.793	34.551	27.715
580	580001	1	27.801	34.562	27.707
581	581001	1	27.805	34.586	27.715
582	582001	1	27.816	34.574	27.738
583	583001	1	27.828	34.578	27.742
584	584001	1	27.844	34.605	27.742
585	585001	1	27.844	34.598	27.742
586	586001	1	27.859	34.617	27.770
587	587001	1	27.859	34.617	27.754
588	588001	1	27.859	34.621	27.773
589	589001	1	27.883	34.633	27.777
590	590001	1	27.887	34.633	27.793
591	591001	1	27.895	34.648	27.816
592	592001	1	27.898	34.641	27.801
593	593000	1	27.914	34.672	27.828
594	594001	1	27.922	34.668	27.813
595	595001	1	27.922	34.684	27.840
596	596001	1	27.961	34.695	27.836
597	597001	1	27.945	34.688	27.859
598	598001	1	27.949	34.707	27.859
599	599001	1	27.961	34.707	27.859
600	600001	1	27.969	34.703	27.883
601	601001	1	27.988	34.730	27.891
602	602001	1	27.980	34.734	27.895
603	603001	1	28.008	34.754	27.910
604	604001	1	27.988	34.742	27.902
605	605000	1	28.020	34.762	27.914
606	606001	1	28.043	34.770	27.941
607	607001	1	28.043	34.773	27.934
608	608000	1	28.043	34.789	27.941
609	609001	1	28.043	34.766	27.969
610	610001	1	28.051	34.805	27.969
611	611001	1	28.070	34.797	27.965
612	612001	1	28.063	34.813	27.961
613	613001	1	28.086	34.820	27.980
614	614001	1	28.094	34.824	27.988
615	615001	1	28.082	34.852	28.004
616	616001	1	28.094	34.840	28.004
617	617001	1	28.121	34.852	28.020
618	618001	1	28.113	34.863	28.020
619	619001	1	28.113	34.852	28.020
620	620001	1	28.148	34.863	28.047
621	621001	1	28.137	34.875	28.051
622	622001	1	28.148	34.887	28.055
623	623000	1	28.156	34.902	28.066
624	624001	1	28.160	34.902	28.066
625	625001	1	28.168	34.914	28.078
626	626001	1	28.188	34.926	28.086
627	627001	1	28.195	34.922	28.113
628	628001	1	28.207	34.926	28.109
629	629001	1	28.191	34.941	28.133
630	630001	1	28.211	34.949	28.125
631	631001	1	28.234	34.945	28.133
632	632001	1	28.234	34.965	28.125
633	633001	1	28.242	34.977	28.137
634	634001	1	28.250	34.969	28.148
635	635001	1	28.254	35.004	28.152
636	636001	1	28.281	35.000	28.176
637	637001	1	28.289	35.012	28.176
638	638000	1	28.289	35.004	28.180
639	639001	1	28.289	35.016	28.195
640	640001	1	28.297	35.027	28.195
641	641001	1	28.313	35.031	28.223
642	642001	1	28.316	35.051	28.223
643	643001	1	28.316	35.059	28.234
644	644001	1	28.340	35.059	28.230
645	645001	1	28.332	35.066	28.238
646	646001	1	28.344	35.059	28.250
647	647001	1	28.340	35.078	28.273
648	648001	1	28.359	35.090	28.266
649	649001	1	28.371	35.090	28.270
650	650001	1	28.363	35.098	28.277
651	651001	1	28.387	35.109	28.289
652	652001	1	28.391	35.121	28.289
653	653000	1	28.395	35.121	28.301
654	654001	1	28.406	35.137	28.309
655	655001	1	28.422	35.133	28.320
656	656001	1	28.418	35.141	28.309
657	657001	1	28.426	35.152	28.344
658	658001	1	28.457	35.168	28.340
659	659001	1	28.445	35.168	28.352
660	660001	1	28.461	35.172	28.359
661	661001	1	28.477	35.195	28.363
662	662001	1	28.477	35.207	28.363
663	663001	1	28.465	35.187	28.383
664	664001	1	28.488	35.191	28.402
665	665001	1	28.496	35.211	28.387
666	666001	1	28.500	35.215	28.410
667	667001	1	28.508	35.219	28.418
668	668000	1	28.516	35.230	28.410
669	669001	1	28.520	35.238	28.426
670	670001	1	28.527	35.230	28.438
671	671001	1	28.535	35.250	28.434
672	672001	1	28.563	35.266	28.449
673	673001	1	28.570	35.273	28.441
674	674001	1	28.570	35.281	28.465
675	675001	1	28.570	35.285	28.496
676	676001	1	28.582	35.289	28.496
677	677001	1	28.574	35.301	28.500
678	678001	1	28.609	35.316	28.504
679	679001	1	28.605	35.293	28.492
680	680001	1	28.613	35.320	28.516
681	681001	1	28.629	35.309	28.512
682	682001	1	28.621	35.324	28.527
683	683000	1	28.637	35.348	28.531
684	684001	1	28.641	35.359	28.539
685	685001	1	28.660	35.371	28.559
686	686001	1	28.668	35.371	28.559
687	687001	1	28.672	35.379	28.574
688	688001	1	28.688	35.371	28.578
689	689001	1	28.691	35.379	28.582
690	690001	1	28.676	35.398	28.590
691	691001	1	28.703	35.383	28.578
692	692001	1	28.711	35.410	28.594
693	693001	1	28.707	35.422	28.645
694	694001	1	28.715	35.434	28.637
695	695001	1	28.738	35.426	28.629
696	696001	1	28.730	35.438	28.648
697	697001	1	28.746	35.430	28.641
698	698000	1	28.734	35.441	28.641
699	699001	1	28.762	35.453	28.652
700	700001	1	28.762	35.469	28.664
701	701001	1	28.773	35.465	28.664
702	702001	1	28.770	35.473	28.684
703	703001	1	28.801	35.496	28.691
704	704001	1	28.797	35.488	28.684
705	705001	1	28.797	35.496	28.707
706	706001	1	28.809	35.488	28.707
707	707001	1	28.824	35.516	28.723
708	708001	1	28.824	35.520	28.734
709	709001	1	28.828	35.527	28.742
710	710001	1	28.844	35.531	28.762
711	711001	1	28.848	35.539	28.766
712	712001	1	28.871	35.563	28.770
713	713000	1	28.863	35.559	28.754
714	714001	1	28.875	35.551	28.781
715	715001	1	28.879	35.578	28.785
716	716001	1	28.895	35.574	28.789
717	717001	1	28.898	35.594	28.816
718	718001	1	28.902	35.586	28.824
719	719001	1	28.910	35.602	28.809
720	720001	1	28.926	35.613	28.813
721	721001	1	28.910	35.617	28.832
722	722001	1	28.930	35.617	28.844
723	723001	1	28.941	35.621	28.848
724	724001	1	28.941	35.633	28.852
725	725001	1	28.949	35.637	28.859
726	726001	1	28.957	35.637	28.867
727	727001	1	28.984	35.660	28.879
728	728000	1	28.965	35.664	28.879
729	729001	1	29.000	35.660	28.875
730	730001	1	28.996	35.672	28.875
731	731001	1	29.000	35.672	28.910
732	732001	1	29.008	35.680	28.914
733	733001	1	29.012	35.703	28.918
